U2OS WT_NT	ALC1 KO_NT	U2OS WT_OP	ALC1 KO_OP
18.24925816	20.91988131	43.47181009	61.5727003
17.65578635	16.91394659	37.68545994	103.115727
17.5074184	17.21068249	43.62017804	50.74183976
20.6231454	15.13353116	31.75074184	85.45994065
13.50148368	17.06231454	26.85459941	63.35311573
21.81008902	19.73293769	30.71216617	79.22848665
14.39169139	14.24332344	29.6735905	58.7537092
13.94658754	20.3264095	27.59643917	61.5727003
17.65578635	22.99703264	21.66172107	42.58160237
18.99109792	13.94658754	25.22255193	77.15133531
23.88724036	17.95252226	36.64688427	50.59347181
18.84272997	14.83679525	26.85459941	135.0148368
20.91988131	18.84272997	33.67952522	76.70623145
22.10682493	18.69436202	47.47774481	106.0830861
18.84272997	16.61721068	35.60830861	82.04747774
18.99109792	22.55192878	28.78338279	73.29376855
19.88130564	20.77151335	22.70029674	54.45103858
25.96439169	14.6884273	36.79525223	74.18397626
16.17210682	21.81008902	35.75667656	60.38575668
14.9851632	20.17804154	32.78931751	64.39169139
22.84866469	22.25519288	42.58160237	54.45103858
21.21661721	15.13353116	25.66765579	57.41839763
12.46290801	22.99703264	31.60237389	85.3115727
23.88724036	18.54599407	32.64094955	71.51335312
23.29376855	19.13946588	37.53709199	72.25519288
21.81008902	18.99109792	24.77744807	137.9821958
18.69436202	24.92581602	31.60237389	79.3768546
20.02967359	21.81008902	28.78338279	78.48664688
16.91394659	16.02373887	31.75074184	83.23442136
16.17210682	20.02967359	31.75074184	69.28783383
17.8041543	19.73293769	32.64094955	53.70919881
17.65578635	17.06231454	34.56973294	86.79525223
18.24925816	17.95252226	34.56973294	102.9673591
17.95252226	13.50148368	27.74480712	42.28486647
14.9851632	20.3264095	19.73293769	48.66468843
12.90801187	24.48071217	21.81008902	43.47181009
18.10089021	21.21661721	25.81602374	29.82195846
18.84272997	17.95252226	24.92581602	60.38575668
19.88130564	20.91988131	24.77744807	66.46884273
12.90801187	17.8041543	23.88724036	81.45400593
17.21068249	18.24925816	27.74480712	42.58160237
16.91394659	20.91988131	36.64688427	76.2611276
20.02967359	23.7388724	28.63501484	67.35905045
16.76557864	15.87537092	14.83679525	86.05341246
19.43620178	17.5074184	36.05341246	46.58753709
14.83679525	19.73293769	18.10089021	60.38575668
13.79821958	21.21661721	26.85459941	65.28189911
16.76557864	20.91988131	29.6735905	53.56083086
19.73293769	19.73293769	22.84866469	72.40356083
15.13353116	17.5074184	18.84272997	63.35311573
17.95252226	20.3264095	24.77744807	59.34718101
14.83679525	18.84272997	19.88130564	48.51632047
13.05637982	15.13353116	17.21068249	58.30860534
16.76557864	21.36498516	24.18397626	48.66468843
20.77151335	16.91394659	22.84866469	55.6379822
13.94658754	21.21661721	26.70623145	60.83086053
14.83679525	16.91394659	28.78338279	76.11275964
21.66172107	20.91988131	26.70623145	43.62017804
